# your_model_id	your_model_keyword1|your_model_keyword2	stable_diffusion	clip_a.safetensors|clip_b.safetensors	vae.safetensors	Lora1名称	Lora1强度	Lora2名称	Lora2强度	加速步数	基本步数	1.0	euler	normal	1.0			0.0	false			1024	1024
id	keywords	clip_type	clip_names	vae_name	lora_1_name	lora_1_strength	lora_2_name	lora_2_strength	steps	base_steps	cfg	sampler_name	scheduler	denoise	model_sampling	model_shift	cfg_norm_strength	supports_multi_image_edit	main_long_edge	vl_long_edge	width	height	model_name	model_category	model_patch_name	clip_vision_name
FireRed-Image-Edit-1.1	FireRed-Image-Edit-1.1	qwen_image	qwen_2.5_vl_7b_fp8_scaled.safetensors	qwen_image_vae.safetensors	FireRed-Image-Edit-1.0-Lightning-8steps	1.0	qwen-edit-remove-clothes	0.0	8		1.0	euler	simple	1.0	aura	3.1	1.0	true	1024	512	1024	1024
qwen_image_edit_2511	qwen_image_edit_2511	qwen_image	qwen_2.5_vl_7b_fp8_scaled.safetensors	qwen_image_vae.safetensors	Qwen-Image-Edit-2511-Lightning	1.0	qwen-edit-remove-clothes	0.0	4		1.0	euler	simple	1.0	aura	3.1	1.0	true	1024	512	1024	1024
qwen_image_edit	qwen_image_edit	qwen_image	qwen_2.5_vl_7b_fp8_scaled.safetensors	qwen_image_vae.safetensors	Qwen-Image-Lightning-4steps	1.0	qwen-edit-remove-clothes	0.7	4		1.0	euler	simple	1.0	aura	3.0	1.0	true	1024	512	1024	1024
qwen_image_2512	qwen_image_2512	qwen_image	qwen_2.5_vl_7b_fp8_scaled.safetensors	qwen_image_vae.safetensors	Qwen-Image-2512-Lightning	1.0		0.0	4		2.5	euler	simple	1.0	aura	3.1	1.0	false			1328	1328
qwen_image	qwen_image_distill|qwen_image_fp8|qwen_image_bf16|qwen_image_	qwen_image	qwen_2.5_vl_7b_fp8_scaled.safetensors	qwen_image_vae.safetensors	Qwen-Image-Lightning-8steps	1.0		0.0	8		2.5	euler	simple	1.0	aura	3.1	1.0	false			1328	1328
qwen_image_layered	qwen_image_layered	qwen_image	qwen_2.5_vl_7b_fp8_scaled.safetensors	qwen_image_layered_vae.safetensors		0.0		0.0	50		4.0	euler	simple	1.0	aura	1.0	0.0	false			640	640
lotus_depth	lotus-depth-	qwen_image	qwen_2.5_vl_7b_fp8_scaled.safetensors	lvae-ft-mse-840000-ema-pruned.safetensors	qwen_image_union_diffsynth_lora	1.0		0.0	20		1.0	euler	simple	1.0			0.0	false			1024	1024
flux2_klein_9b	flux-2-klein-9b|flux-2-klein-base-9b	flux2	qwen_3_8b_fp8mixed.safetensors	flux2-vae.safetensors		0.0		0.0	4		1.0	lcm	simple	1.0			0.0	false			1024	1024
flux2_klein_4b	flux-2-klein-base-4b|flux-2-klein-4b	flux2	qwen_3_4b.safetensors	flux2-vae.safetensors		0.0		0.0	4		1.0	lcm	simple	1.0			0.0	false			1024	1024
flux2_dev_nvfp4	flux2-dev-nvfp4-mixed|flux2_dev_nvfp4_mixed|nvfp4mixed	flux2	mistral_3_small_flux2_fp8.safetensors	full_encoder_small_decoder.safetensors	Flux_2-Turbo-LoRA_comfyui_8steps_V2	1.0		0.0	8	20	1.0	euler	simple	0.75			0.0	false			1024	1024
